product_name,link, product_images,price,details,image_url,product_name_stemmed
striped textured bermuda shorts,https://www.zara.com/in/en/striped-textured-bermuda-shorts-p02675302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_1_1_1.jpg?ts=1689256345699': 'Image 0 of STRIPED TEXTURED BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_2_1_1.jpg?ts=1689256346283': 'Image 1 of STRIPED TEXTURED BERMUDA SHORTS from Zara'}]","₹ 3,290.00","Short Bermuda shorts made of a cotton blend. Featuring an elasticated waistband with adjustable drawstring, side hip pockets and back pocket details.",https://static.zara.net/photos///2023/I/0/2/p/2675/302/707/2/w/448/2675302707_1_1_1.jpg?ts=1689256345699,stripe textur bermuda short
striped crochet bermuda shorts,https://www.zara.com/in/en/striped-crochet-bermuda-shorts-p03992378.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_1_1_1.jpg?ts=1692779599359': 'Image 0 of STRIPED CROCHET BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_2_1_1.jpg?ts=1692779599546': 'Image 1 of STRIPED CROCHET BERMUDA SHORTS from Zara'}]","₹ 3,990.00","Bermuda shorts made of an open textured fabric. Waistband with drawstrings, front pockets and back patch pocket detail.",https://static.zara.net/photos///2023/I/0/2/p/3992/378/064/2/w/448/3992378064_1_1_1.jpg?ts=1692779599359,stripe crochet bermuda short
striped bermuda shorts,https://www.zara.com/in/en/striped-bermuda-shorts-p05783037.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_1_1.jpg?ts=1688642265006': 'Image 0 of STRIPED BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_2_1.jpg?ts=1688642261978': 'Image 1 of STRIPED BERMUDA SHORTS from Zara'}]","₹ 2,990.00",Bermuda shorts made of a cotton blend fabric. Adjustable elasticated waistband with drawstring. Front pockets and rear pocket detail.,https://static.zara.net/photos///2023/I/0/2/p/5783/037/401/2/w/448/5783037401_6_1_1.jpg?ts=1688642265006,stripe bermuda short
comfort bermuda shorts,https://www.zara.com/in/en/comfort-bermuda-shorts-p00706450.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_1_1_1.jpg?ts=1689069380172': 'Image 0 of COMFORT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_2_1_1.jpg?ts=1689069378347': 'Image 1 of COMFORT BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Bermuda shorts featuring an adjustable elasticated waistband with drawstrings. Front pleats. Front pockets and rear welt pockets. Turn-up hems.,https://static.zara.net/photos///2023/I/0/1/p/0706/450/251/2/w/448/0706450251_1_1_1.jpg?ts=1689069380172,comfort bermuda short
premium bermuda joggers,https://www.zara.com/in/en/premium-bermuda-joggers-p00761439.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/439/401/2/w/448/0761439401_1_1_1.jpg?ts=1692951282737': 'Image 0 of PREMIUM BERMUDA JOGGERS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/439/401/2/w/448/0761439401_2_1_1.jpg?ts=1692951286401': 'Image 1 of PREMIUM BERMUDA JOGGERS from Zara'}]","₹ 2,590.00","Bermuda shorts featuring an elastic waistband with adjustable drawstrings, front pockets and rear pocket detail.",https://static.zara.net/photos///2023/I/0/2/p/0761/439/401/2/w/448/0761439401_1_1_1.jpg?ts=1692951282737,premium bermuda jogger
soft denim bermuda shorts,https://www.zara.com/in/en/soft-denim-bermuda-shorts-p01187444.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/448/1187444406_1_1_1.jpg?ts=1679481016312': 'Image 0 of SOFT DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/448/1187444406_2_1_1.jpg?ts=1679481011218': 'Image 1 of SOFT DENIM BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Slim fit Bermuda shorts. Adjustable elasticated waistband with drawstring. Five pockets. Faded effect. Turn-up hems.,https://static.zara.net/photos///2023/V/0/2/p/1187/444/406/2/w/448/1187444406_1_1_1.jpg?ts=1679481016312,soft denim bermuda short
creasedeffect bermuda shorts,https://www.zara.com/in/en/creased-effect-bermuda-shorts-p06103310.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/6103/330/250/2/w/448/6103330250_1_1_1.jpg?ts=1683041313010': 'Image 0 of CREASED-EFFECT BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/6103/330/250/2/w/448/6103330250_2_1_1.jpg?ts=1683041309431': 'Image 1 of CREASED-EFFECT BERMUDA SHORTS from Zara'}]","₹ 2,590.00",Bermuda shorts made of cotton. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail.,https://static.zara.net/photos///2023/V/0/2/p/6103/330/250/2/w/448/6103330250_1_1_1.jpg?ts=1683041313010,creasedeffect bermuda short
cottonlinen bermuda shorts,https://www.zara.com/in/en/cotton-linen-bermuda-shorts-p04365300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4365/300/251/2/w/448/4365300251_1_1_1.jpg?ts=1688714833709': 'Image 0 of COTTON-LINEN BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4365/300/251/2/w/448/4365300251_2_1_1.jpg?ts=1688714834336': 'Image 1 of COTTON-LINEN BERMUDA SHORTS from Zara'}]","₹ 3,290.00",Relaxed fit Bermuda shorts made of a linen and cotton blend fabric. Adjustable elasticated waistband with drawstring. Side pockets and rear patch pocket detail. Irregular hem.,https://static.zara.net/photos///2023/I/0/2/p/4365/300/251/2/w/448/4365300251_1_1_1.jpg?ts=1688714833709,cottonlinen bermuda short
seersucker bermuda shorts with contrast topstitching,https://www.zara.com/in/en/seersucker-bermuda-shorts-with-contrast-topstitching-p03268302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3268/302/403/2/w/448/3268302403_1_1_1.jpg?ts=1691503022118': 'Image 0 of SEERSUCKER BERMUDA SHORTS WITH CONTRAST TOPSTITCHING from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3268/302/403/2/w/448/3268302403_2_1_1.jpg?ts=1691503021437': 'Image 1 of SEERSUCKER BERMUDA SHORTS WITH CONTRAST TOPSTITCHING from Zara'}]","₹ 3,290.00",Relaxed-fit Bermuda shorts with an adjustable elasticated waistband with drawstrings. Front pockets and back patch pockets. Contrast topstitching all over the garment.,https://static.zara.net/photos///2023/I/0/2/p/3268/302/403/2/w/448/3268302403_1_1_1.jpg?ts=1691503022118,seersuck bermuda short with contrast topstitch
vintage denim bermuda shorts,https://www.zara.com/in/en/vintage-denim-bermuda-shorts-p00621300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0621/300/400/2/w/448/0621300400_1_1_1.jpg?ts=1688552338463': 'Image 0 of VINTAGE DENIM BERMUDA SHORTS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0621/300/400/2/w/448/0621300400_2_1_1.jpg?ts=1688552339557': 'Image 1 of VINTAGE DENIM BERMUDA SHORTS from Zara'}]","₹ 3,990.00",Relaxed fit Bermuda shorts. Five pockets. Vintage fade effect. Front zip fly and button fastening.,https://static.zara.net/photos///2023/I/0/2/p/0621/300/400/2/w/448/0621300400_1_1_1.jpg?ts=1688552338463,vintag denim bermuda short
